prefix	content	marker	group	section	subsection	subsubsection	title	section_tag	context_mask	chunk_summary	group_summary	section_summary
	08/02/2019 2.k Operation Procedures	-1	5	1	0	0		2	1	08/02/2019 2.k Operation Procedures		
	Slurry Operations	-1	5	1	0	0		2	1	Slurry Operations		
	09/18/2019 2.l Incorporation of Government Comments	-1	6	1	0	0		2	0	09/18/2019 2.l Incorporation of Government Comments	09/18/2019 2.l Incorporation of Government Comments	
	DISTRIBUTION	-1	7	2	0	0	DISTRIBUTION	3	0	DISTRIBUTION		Manual is intended to serve as an additional on-site reference guide for operators and maintenance personnel who have already received classroom, handson, field training. Unit commanders require that all training be documented on the Soldier’ driver't training records ; MASTER COPY of this complete manual permanently maintained at Intelagard, Inc. The original equipment manufacturer : http://www2.intelaguardinc.com/oem/manual/versionb/default.html. Please direct comments or suggestions changes to: Atton
	This manual should always be kept with the VMDS Power Unit and used primarily as an additional on-site reference guide to operators and maintenance personnel who have already received all required classroom, hands-on, and field training applicable to safely operate and/or maintain this equipment.  The preferred storage location of this manual is inside the accessory box.	-1	8	2	0	0		3	0	Manual should be kept with the VMDS Power Unit. It is intended to serve as an additional on-site reference guide for operators and maintenance personnel who have already received classroom, handson, field training relating safely operate and/or	Manual should be kept with the VMDS Power Unit. It is intended to serve as an additional on-site reference guide for operators and maintenance personnel who have already received classroom, handson, field training relating safely operate and/or This manual is for reference use only and is not to be used solely to operate the VMDS system without necessary training.   Unit commanders require that all training be documented on the Soldiers’ driver’s training records. The MASTER COPY of this complete manual is permanently maintained and on record at Intelagard, Inc. the Original Equipment Manufacturer. Please direct comments or suggested changes to:	
	This manual is for reference use only and is not to be used solely to operate the VMDS system without necessary training.   Unit commanders require that all training be documented on the Soldiers’ driver’s training records.	-1	8	2	0	0		3	0	This manual is for reference use only and is not to be used solely to operate the VMDS system without necessary training.   Unit commanders require that all training be documented on the Soldiers’ driver’s training records.		
	The MASTER COPY of this complete manual is permanently maintained and on record at Intelagard, Inc. the Original Equipment Manufacturer. Please direct comments or suggested changes to:	-1	8	2	0	0		3	0	The MASTER COPY of this complete manual is permanently maintained and on record at Intelagard, Inc. the Original Equipment Manufacturer. Please direct comments or suggested changes to:		
	Intelagard, Inc.	-1	9	2	0	0		3	1	Intelagard, Inc.		
	Attn:  Project Manager, VMDS 3101 Industrial Lane, Suite C Broomfield, CO 80020 USA 1-800-468-6090 (USA); 303-309-6309 www.intelagard.com info@intelagard.com	-1	10	2	0	0		3	0	Attn:  Project Manager, VMDS 3101 Industrial Lane, Suite C Broomfield, CO 80020 USA 1-800-468-6090 (USA); 303-309-6309 www.intelagard.com info@intelagard.com	Attn:  Project Manager, VMDS 3101 Industrial Lane, Suite C Broomfield, CO 80020 USA 1-800-468-6090 (USA); 303-309-6309 www.intelagard.com info@intelagard.com This Operator’s Manual pertains to the “Version B” VMDS system, incorporating design changes that were requested by the end users and the JPM-Protection from October 2018 through August 2019. The Serial Numbers of the Version B systems start with VM000004.	
	This Operator’s Manual pertains to the “Version B” VMDS system, incorporating design changes that were requested by the end users and the JPM-Protection from October 2018 through August 2019. The Serial Numbers of the Version B systems start with VM000004.	-1	10	2	0	0		3	0	This Operator’s Manual pertains to the “Version B” VMDS system, incorporating design changes that were requested by the end users and the JPM-Protection from October 2018 through August 2019. The Serial Numbers of the Version B systems start with VM000004.		
7		2	11	2	0	0		3	1			
	WARNING SUMMARY (GENERAL)	-1	12	3	0	0	WARNING SUMMARY (GENERAL)	4	0	WARNING SUMMARY (GENERAL)		A direct short can cause instant heating of tools resulting in equipment damage and personnel burns. Wear military standard personal protective gear (PPE) when handling, mixing and using decontamination solutions. Siphoning fuel from vehicles is prohibited. The operator must be present at all times during operation of the power unit; no one will be injured. Use gloves to help prevent injury to fingers and hands. Keep decontaminant containers closed and stored in cool dry place. Do not allow tools
	WARNING! DEATH OR SEVERE INJURY MAY RESULT IF PERSONNEL FAIL TO OBSERVE WARNINGS	-1	13	3	0	0		4	1	WARNING! DEATH OR SEVERE INJURY MAY RESULT IF PERSONNEL FAIL TO OBSERVE WARNINGS		
•	Remove all jewelry before starting work. Metal objects such as rings or tools can cause grave injuries and equipment damage.	1	14	3	0	0		4	0	Remove all jewelry before starting work. Metal objects such as rings or tools can cause grave injuries and equipment damage.	A direct short can cause instant heating of tools resulting in equipment damage and personnel burns. Wear military standard personal protective gear (PPE) when handling, mixing and using decontamination solutions. Siphoning fuel from vehicles is prohibited. The operator must be present at all times during operation of the power unit; no one will be injured. Use gloves to help prevent injury to fingers and hands. Keep decontaminant containers closed and stored in cool dry place. Do not allow tools	
•	Do not allow tools to contact live circuits. A direct short can cause instant heating of tools resulting in equipment damage and personnel burns. Failure to comply may result in personal injury.	1	14	3	0	0		4	0	Do not allow tools to contact live circuits. A direct short can cause instant heating of tools resulting in equipment damage and personnel burns. Failure to comply may result in personal injury.		
•	TOXIC CHEMICALS, DIESEL FUEL, VOLTAGE (12V DC) are used in the operation of the equipment. CARBON-MONOXIDE is present in the exhaust gases of the engine.	1	14	3	0	0		4	0	TOXIC CHEMICALS, DIESEL FUEL, VOLTAGE (12V DC) are used in the operation of the equipment. CARBON-MONOXIDE is present in the exhaust gases of the engine.		
•	ALWAYS wear military standard personal protective equipment (PPE) when handling, mixing and using decontamination solutions.	1	14	3	0	0		4	0	ALWAYS wear military standard personal protective equipment (PPE) when handling, mixing and using decontamination solutions.		
•	Wear hearing protection when near (within 30 feet of) the running power unit.	1	14	3	0	0		4	0	Wear hearing protection when near (within 30 feet of) the running power unit.		
•	An operator must be in attendance at all times during operation of the power unit.	1	14	3	0	0		4	0	An operator must be in attendance at all times during operation of the power unit.		
•	Make certain that the fuel supply and fuel return lines are properly connected before operating the power unit	1	14	3	0	0		4	0	Make certain that the fuel supply and fuel return lines are properly connected before operating the power unit		
•	Authorized fuel will be obtained only from authorized fuel services or fuel trucks. Siphoning fuel from vehicles is prohibited.	1	14	3	0	0		4	0	Authorized fuel will be obtained only from authorized fuel services or fuel trucks. Siphoning fuel from vehicles is prohibited.		
•	When operating tank drain valves and couplings wear gloves to help prevent injury to fingers and hands.	1	14	3	0	0		4	0	When operating tank drain valves and couplings wear gloves to help prevent injury to fingers and hands.		
•	Keep decontaminant containers closed and stored in a cool dry place. Mix only in accordance with directions for use.	1	14	3	0	0		4	0	Keep decontaminant containers closed and stored in a cool dry place. Mix only in accordance with directions for use.		
•	Keep clear of the exhaust stack during operation of the power unit.	1	14	3	0	0		4	0	Keep clear of the exhaust stack during operation of the power unit.		
8		2	15	3	0	0		4	1			
	WARNING SUMMARY (SPECIFIC)	-1	16	4	0	0	WARNING SUMMARY (SPECIFIC)	5	0	WARNING SUMMARY (SPECIFIC)		VMDS uses pressurized water to apply decontamination solutions onto targets. If the system is not properly depressurized, it may cause serious injury or death. Personnel using the VMDS must be educate in basic principles of decontaminating. Personal protective equipment (PPE) is always required prior, during and after decontaminations. Use eye protection while operating the VMDS. Read the warning summary in this manual for an explanation about potential risks. Click here for more information. See the warning summary in this manual. Page
	Although every effort has been taken to ensure that the VMDS is safe to operate, the operator MUST be aware that this system uses pressurized water to apply decontamination solutions onto a target. Precautions MUST be taken to ensure operator safety.	-1	17	4	0	0		5	0	Although every effort has been taken to ensure that the VMDS is safe to operate, the operator MUST be aware that this system uses pressurized water to apply decontamination solutions onto a target. Precautions MUST be taken to ensure operator safety.	Although every effort has been taken to ensure that the VMDS is safe to operate, the operator MUST be aware that this system uses pressurized water to apply decontamination solutions onto a target. Precautions MUST be taken to ensure operator safety.	
	Operators must read this manual and be familiar with the safety considerations outlined herein. Refer to the Warning Summary in this manual for an explanation of potential risks.	-1	18	4	0	0		5	0	Operators must read this manual and be familiar with the safety considerations outlined herein. Refer to the Warning Summary in this manual for an explanation of potential risks.	Operators must read this manual and be familiar with the safety considerations outlined herein. Refer to the Warning Summary in this manual for an explanation of potential risks.	
	Throughout this manual Important Procedures , Cautions and Warnings will be clearly identified with the symbol below.  Ensure the cautions, warnings and procedures specified herein are closely followed.	-1	19	4	0	0		5	0	Throughout this manual Important Procedures , Cautions and Warnings will be clearly identified with the symbol below.  Ensure the cautions, warnings and procedures specified herein are closely followed.	"Throughout this manual Important Procedures , Cautions and Warnings will be clearly identified with the symbol below.  Ensure the cautions, warnings and procedures specified herein are closely followed. This symbol is used throughout this manual to clearly indicate an important procedural step or warning statement. When accompanied with the word "" WARNING "" this symbol indicates that personal injury or possibly death could result from not obeying the guidance given."	
	This symbol is used throughout this manual to clearly indicate an important procedural step or warning statement.	-1	19	4	0	0		5	0	This symbol is used throughout this manual to clearly indicate an important procedural step or warning statement.		
	"When accompanied with the word "" WARNING "" this symbol indicates that personal injury or possibly death could result from not obeying the guidance given."	-1	19	4	0	0		5	0	"When accompanied with the word "" WARNING "" this symbol indicates that personal injury or possibly death could result from not obeying the guidance given."		
	ADDITIONAL WARNINGS ARE LOCATED TROUGHOUT THIS MANUAL	-1	20	4	0	0		5	1	ADDITIONAL WARNINGS ARE LOCATED TROUGHOUT THIS MANUAL	WARNING! Personnel using the VMDS must be educated in the basic principles of decontamination to mitigate the risks of performing these inherently dangerous operations. Personal Protective Equipment (PPE) is always required.	
9		2	20	4	0	0		5	1			
	WARNING SUMMARY - Continued	-1	20	4	0	0		5	1	WARNING SUMMARY - Continued		
	WARNING! Personnel using the VMDS must be educated in the basic principles of decontamination to mitigate the risks of performing these inherently dangerous operations. Personal Protective Equipment (PPE) is always required.	-1	20	4	0	0		5	0	WARNING! Personnel using the VMDS must be educated in the basic principles of decontamination to mitigate the risks of performing these inherently dangerous operations. Personal Protective Equipment (PPE) is always required.		
	WARNING! This system uses pressurized air (~100 psi) as an energy source to both create and propel decontamination solutions onto a target. Before operation, always verify that all hoses and accessories are properly connected. Always inspect the unit to ensure that the integrity of air lines and liquid hoses are not compromised and are serviceable IAW the PMCS guidance set forth in this manual. After operation, always turn off the liquid supply line valves and bleed the discharge hose(s) to relieve the system of pressure. Failure to do so can result in injury and/or system damage.	-1	21	4	0	0		5	0	Pressurized air (	Pressurized air (	
	WARNING! The VMDS deploys various chemical and/or biological decontamination solutions. Operator must be fully trained in this type of operation. Military standard personal protective equipment (PPE) is required prior, during and after decontamination operations.	-1	22	4	0	0		5	0	WARNING! The VMDS deploys various chemical and/or biological decontamination solutions. Operator must be fully trained in this type of operation. Military standard personal protective equipment (PPE) is required prior, during and after decontamination operations.	WARNING! The VMDS deploys various chemical and/or biological decontamination solutions. Operator must be fully trained in this type of operation. Military standard personal protective equipment (PPE) is required prior, during and after decontamination operations.	
	WARNING! ALWAYS wear eye and hearing protection while operating the	-1	23	4	0	0		5	0	WARNING! ALWAYS wear eye and hearing protection while operating the	WARNING! ALWAYS wear eye and hearing protection while operating the WARNING! When working with any decontaminant, take appropriate measures to avoid getting the substance into eyes and mouth or on skin. In the event of eye, mouth or skin contact, refer to product Safety Data Sheet (SDS) for emergencies or first aid.	
	VMDS.	-1	23	4	0	0		5	1	VMDS.		
	WARNING! When working with any decontaminant, take appropriate measures to avoid getting the substance into eyes and mouth or on skin. In the event of eye, mouth or skin contact, refer to product Safety Data Sheet (SDS) for emergencies or first aid.	-1	23	4	0	0		5	0	WARNING! When working with any decontaminant, take appropriate measures to avoid getting the substance into eyes and mouth or on skin. In the event of eye, mouth or skin contact, refer to product Safety Data Sheet (SDS) for emergencies or first aid.		
	WARNING! Liquids deployed by this system may be slippery. Every effort should be made to control accidental slippage and to avoid walking on areas where liquid has been spilled and/or applied.	-1	24	4	0	0		5	0	WARNING! Liquids deployed by this system may be slippery. Every effort should be made to control accidental slippage and to avoid walking on areas where liquid has been spilled and/or applied.	WARNING! Liquids deployed by this system may be slippery. Every effort should be made to control accidental slippage and to avoid walking on areas where liquid has been spilled and/or applied.	
	WARNING! NEVER operate the VMDS if it has an identified air leak or worn or damaged airline or discharge hose. Once pressurized, a loose/leaking/damaged connection and/or hose may disconnect or rupture, potentially causing serious injury.	-1	25	4	0	0		5	0	WARNING! NEVER operate the VMDS if it has an identified air leak or worn or damaged airline or discharge hose. Once pressurized, a loose/leaking/damaged connection and/or hose may disconnect or rupture, potentially causing serious injury.	WARNING! NEVER operate the VMDS if it has an identified air leak or worn or damaged airline or discharge hose. Once pressurized, a loose/leaking/damaged connection and/or hose may disconnect or rupture, potentially causing serious injury.	
	WARNING! ALWAYS treat the VMDS as though the discharge line(s) are pressurized. Once the system is pressurized, it will remain so until the air supply is turned off and the system is completely depressurized via checking the air pressure gauge or the lack of a hissing sound.	-1	26	4	0	0		5	0	WARNING! ALWAYS treat the VMDS as though the discharge line(s) are pressurized. Once the system is pressurized, it will remain so until the air supply is turned off and the system is completely depressurized via checking the air pressure gauge or the lack of a hissing sound.	WARNING! ALWAYS treat the VMDS as though the discharge line(s) are pressurized. Once the system is pressurized, it will remain so until the air supply is turned off and the system is completely depressurized via checking the air pressure gauge or the lack of a hissing sound.	
	WARNING! When using the VMDS, ALWAYS ensure that all connections, hoses and nozzles are tightly attached, and point all discharge devices in a safe direction.	-1	27	4	0	0		5	0	WARNING! When using the VMDS, ALWAYS ensure that all connections, hoses and nozzles are tightly attached, and point all discharge devices in a safe direction.	WARNING! When using the VMDS, ALWAYS ensure that all connections, hoses and nozzles are tightly attached, and point all discharge devices in a safe direction.	
	WARNING! The VMDS engine runs on diesel fuel. Observe all applicable precautions when handling, storing or dispensing fuels.	-1	28	4	0	0		5	0	WARNING! The VMDS engine runs on diesel fuel. Observe all applicable precautions when handling, storing or dispensing fuels.	WARNING! The VMDS engine runs on diesel fuel. Observe all applicable precautions when handling, storing or dispensing fuels. The VMDS power unit uses 12V DC battery to supply electrical energy. Do not remove or install any cables while the system is running or energized. Never allow anything to touch metal components in the battery box or other electrical components.	
	WARNING! The VMDS power unit uses a 12V DC battery to supply electrical energy to the starter. To mitigate risks associated with the battery/charging system, do not remove or install any cables while the system is running or energized. Never allow any object to touch metal components in the battery box or other electrical components.	-1	28	4	0	0		5	0	The VMDS power unit uses 12V DC battery to supply electrical energy. Do not remove or install any cables while the system is running or energized. Never allow anything to touch metal components in the battery box or other electrical components.		
	WARNING! Disconnect all battery cables before servicing the VMDS engine.	-1	29	4	0	0		5	0	WARNING! Disconnect all battery cables before servicing the VMDS engine.	WARNING! Disconnect all battery cables before servicing the VMDS engine. VMDS exhaust system may be hot to the touch during and after operation. Allow adequate time for components to cool before attempting service any internal components. Once the system is shut down, allow adequate cooling before attempting to service any internal components	
	WARNING! Some parts of this system, especially the exhaust system, may be hot to the touch during and after operation. NEVER attempt to service internal components while the VMDS is running! Once the system is shut down, allow adequate time for components to cool before attempting to service any internal components.	-1	29	4	0	0		5	0	VMDS exhaust system may be hot to the touch during and after operation. Allow adequate time for components to cool before attempting service any internal components. Once the system is shut down, allow adequate cooling before attempting to service any internal components		
	WARNING! ALWAYS ensure the spray/hose operator has a firm grip and stance before opening the discharge hose(s). The VMDS propels solutions with significant force! Once the system is pressurized, never let go of the hose. A loose discharge hose will whip around violently and can cause serious injury and/or equipment damage. Always close the Pump Control valve on Power Unit Control Panel and relieve pressure from discharge line before releasing the hose.	-1	30	4	0	0		5	0	A loose discharge can whip around violently and cause serious injury or equipment damage. The VMDS propels solutions with significant force! Once system is pressurized, never let go of the flow hose. Close pump control valve on	A loose discharge can whip around violently and cause serious injury or equipment damage. The VMDS propels solutions with significant force! Once system is pressurized, never let go of the flow hose. Close pump control valve on	
	GENERAL OVERVIEW	-1	31	5	0	0	GENERAL OVERVIEW	6	0	GENERAL OVERVIEW		The VMDS is designed to be operated while mounted in the back of an vehicle or on trailer, while stationary or mobile. It can deploy decontamination solutions into three forms: liquid and foam - with no addition of air into the stream if necessary – up until slurry. The VMMS Power Unit uses an air compressor to create and propel decontaminated solutions through a 1 1 ratio based on a 1 1. This system is designed for rapid, mobile decontaminations missions for terrain and military equipment.
	The Vehicle Modular Decontamination System (VMDS) is a modular, diesel-driven system specifically designed for rapid, mobile decontamination missions for terrain and military equipment. This system is designed to be operated while mounted in the back of a vehicle or on a trailer, while stationary or mobile.	-1	32	5	0	0		6	0	The Vehicle Modular Decontamination System (VMDS) is a modular, diesel-driven system specifically designed for rapid, mobile decontamination missions for terrain and military equipment. This system is designed to be operated while mounted in the back of a vehicle or on a trailer, while stationary or mobile.	The Vehicle Modular Decontamination System (VMDS) is a modular, diesel-driven system specifically designed for rapid, mobile decontamination missions for terrain and military equipment. This system is designed to be operated while mounted in the back of a vehicle or on a trailer, while stationary or mobile. The VMDS Power Unit uses an air compressor to create and propel decontamination solutions through a 1 1	
	The VMDS Power Unit uses a Diesel engine-powered air compressor to provide energy to create and propel decontamination solutions through a 1 ½-inch (3.81 cm) pump. It deploys these solutions through vehicle- or trailer-mounted spray bars, a remote-control stanchion-mounted monitor (water cannon) and non-collapsible hoses with D-bale handset(s). The VMDS is capable of drafting from external water sources such as bulk tanks or natural water sources. In addition to the Power Unit, the VMDS incorporates two solution-mixing tanks with fill capacities of 750 gallons each tank. Tanks are constructed with internal baffles to minimize liquid movement and weight shift during transport.	-1	32	5	0	0		6	0	The VMDS Power Unit uses an air compressor to create and propel decontamination solutions through a 1 1		
	The VMDS can deploy decontamination solutions in three forms: liquid, foam, and slurry.	-1	33	5	0	0		6	0	The VMDS can deploy decontamination solutions in three forms: liquid, foam, and slurry.	The VMDS can deploy decontamination solutions in three forms: liquid, foam, and slurry. Liquid – Non-expanded (1:1 expansion ratio) – no addition of air into the stream. CAF is activated using the air control valve on front panel of the Power Unit. It generates compressed air foam (CAF) which can be expanded by on board air injection into liquid solution - up to	
	Liquid – Non-expanded (1:1 expansion ratio) – no addition of air into the stream.	-1	33	5	0	0		6	0	Liquid – Non-expanded (1:1 expansion ratio) – no addition of air into the stream.		
	Compressed Air Foam (CAF) - Expanded (up to ~20:1 air to liquid ratio) which is generated by on board air injection into the liquid solution. This expansion rate can be realized when using surfactant-based decontaminant solutions.  CAF is activated using the air control valve on the front panel of the Power Unit.	-1	33	5	0	0		6	0	CAF is activated using the air control valve on front panel of the Power Unit. It generates compressed air foam (CAF) which can be expanded by on board air injection into liquid solution - up to		
	Slurry – Non-expanded, highly concentrated solution that is applied in a thick, cake-batter like consistency.	-1	34	5	0	0		6	0	Slurry – Non-expanded, highly concentrated solution that is applied in a thick, cake-batter like consistency.	Slurry – Non-expanded, highly concentrated solution that is applied in a thick, cake-batter like consistency.	
	ADDITIONAL SYSTEM PERFORMANCE CHARACTERISTICS:	-1	34	5	0	0		6	1	ADDITIONAL SYSTEM PERFORMANCE CHARACTERISTICS:		
•	Expansion: 1:1 (liquid application) to ~20:1(CAF application)	1	35	5	0	0		6	0	Expansion: 1:1 (liquid application) to ~20:1(CAF application)	Expansion: 1:1 (liquid application) to ~20:1(CAF application) Output Stream: 90-95 gpm Output Throw Distance: Up to ~90 ft (Dependent upon user settings, decontaminant or foaming product, nozzle, wind and other factors) Zero-Prime Drafting: Up to ~20 ft. vertical lift Hydrant Fill Capability:  Yes (Directly into tank, not via DRAFT mode)	
•	Output Stream: 90-95 gpm	1	35	5	0	0		6	0	Output Stream: 90-95 gpm		
•	Output Throw Distance: Up to ~90 ft (Dependent upon user settings, decontaminant or foaming product, nozzle, wind and other factors)	1	35	5	0	0		6	0	Output Throw Distance: Up to ~90 ft (Dependent upon user settings, decontaminant or foaming product, nozzle, wind and other factors)		
•	Zero-Prime Drafting: Up to ~20 ft. vertical lift	1	35	5	0	0		6	0	Zero-Prime Drafting: Up to ~20 ft. vertical lift		
•	Hydrant Fill Capability:  Yes (Directly into tank, not via DRAFT mode)	1	35	5	0	0		6	0	Hydrant Fill Capability:  Yes (Directly into tank, not via DRAFT mode)		
	VMDS QUICK START PROCEDURE	-1	36	6	0	0	VMDS QUICK START PROCEDURE	7	0	VMDS QUICK START PROCEDURE	WARNING! DO NOT attempt to use this Quick Start to place the system into operation without	This Quick Start is intended for experienced system operators who fully understand safe operation of the VMDS and all maintenance considerations in this manual. Before initiating startup, ensure that all discharge ports are CLOSED. OPEN and EMPTY all discharged devices, then return to normal Clocked and Off positions. Press the start engine button (#1) a second time; the glow plug light will illuminate up for approximately 6 seconds. The engine won't restart properly under compressed air load when it was underneath compressed gas loading – wait at least one
	WARNING! DO NOT attempt to use this Quick Start to place the system into operation without	-1	36	6	0	0		7	0	WARNING! DO NOT attempt to use this Quick Start to place the system into operation without		
	FIRST reviewing all warnings, cautions and maintenance related material in this manual.  This Quick Start is intended for experienced system operators who fully understand safe operation of this system and all maintenance considerations. IMPORTANT! Before initiating startup of the	-1	37	6	0	0		7	0	FIRST reviewing all warnings, cautions and maintenance related material in this manual.  This Quick Start is intended for experienced system operators who fully understand safe operation of this system and all maintenance considerations. IMPORTANT! Before initiating startup of the	FIRST reviewing all warnings, cautions and maintenance related material in this manual.  This Quick Start is intended for experienced system operators who fully understand safe operation of this system and all maintenance considerations. IMPORTANT! Before initiating startup of the	
	VMDS, ensure that all discharge ports are CLOSED. OPEN and EMPTY all discharge hoses and devices, then return to normal CLOSED and OFF positions. IMPORTANT: Ensure the	-1	38	6	0	0		7	0	VMDS, ensure that all discharge ports are CLOSED. OPEN and EMPTY all discharge hoses and devices, then return to normal CLOSED and OFF positions. IMPORTANT: Ensure the	VMDS, ensure that all discharge ports are CLOSED. OPEN and EMPTY all discharge hoses and devices, then return to normal CLOSED and OFF positions. IMPORTANT: Ensure the PUMP CONTROL (7,9,11) and AIR CONTROL (6) VALVES are in OFF positions.	
	PUMP CONTROL (7,9,11) and AIR CONTROL (6) VALVES are in OFF positions.	-1	38	6	0	0		7	0	PUMP CONTROL (7,9,11) and AIR CONTROL (6) VALVES are in OFF positions.		
1.	Press the GREEN (#1) start button ONE TIME . Status display in window shows software loading.	2	39	6	0	0		7	0	Press the GREEN (#1) start button ONE TIME . Status display in window shows software loading.	Press the GREEN (#1) start engine button a second time; the RED LED glow plug light will light up for approximately 6 seconds. Then engine starts - this is normal. The engine won't restart properly under compressed air load if it was under compressed gas load – wait at least one minute before trying to restart — and click on the stop button (#3) twice! If you hear the engine RPMs drop, Add decontamin	
2.	Press the GREEN (#1) start engine button a second time; the RED LED glow plug light (#2) will light up for approximately 6 seconds. Then engine will start. For a brief second, the RED OIL PRESSURE light will flash - this is normal.	2	39	6	0	0		7	0	Press the GREEN (#1) start engine button a second time; the RED LED glow plug light (#2) will light up for approximately 6 seconds. Then engine will start. For a brief second, the RED OIL PRESSURE light will flash - this is normal.		
3.	After the engine starts there will be a 10 second delay before the compressor will engage. Once you hear the engine RPMs drop, this means the compressor is now engaged and the unit is fully operational. NOTE – If the engine stalls for any reason, press the RED stop button (#3) twice. Wait at least a minute before attempting to restart. The engine will not restart properly if it is under compressed air load . Wait for the hissing noise to subside.	2	39	6	0	0		7	0	The engine will not restart properly if it is under compressed air load. Wait at least a minute before attempting to restart. Click on the RED stop button (#3) twice. If you hear the engine RPMs drop,		
4.	Add decontaminant to HOPPER/BLENDER in tank (not shown).	2	39	6	0	0		7	0	Add decontaminant to HOPPER/BLENDER in tank (not shown).		
5.	Place S ELECTOR VALVE 1 (#5) in DRAFT position by pushing to turn and select .	2	39	6	0	0		7	0	Place S ELECTOR VALVE 1 (#5) in DRAFT position by pushing to turn and select .		
6.	Place AIR CONTROL VALVE (#6) in OFF/WET position.	2	39	6	0	0		7	0	Place AIR CONTROL VALVE (#6) in OFF/WET position.		
7.	SLOWLY turn the PUMP CONTROL VALVE (#7) to full OPEN position.	2	40	6	0	0		7	0	SLOWLY turn the PUMP CONTROL VALVE (#7) to full OPEN position.	SLOWLY turn the PUMP CONTROL VALVE (#7) to full CLOSED position. Fill mixing tank with water from holding tank unless drafting from another source - unless drafting from another source 'filling tank with water from holding tank' set SELECTOR valve(s) (1, #5) to setting that matches desired operation by pushing and turning a button if necessary ; see Section 10 of this manual for details &	
8.	Fill mixing tank with water from holding tank (not shown) unless drafting from another source.	2	40	6	0	0		7	0	Fill mixing tank with water from holding tank (not shown) unless drafting from another source.		
9.	SLOWLY turn PUMP CONTROL VALVE (#7) to full CLOSED position.	2	40	6	0	0		7	0	SLOWLY turn PUMP CONTROL VALVE (#7) to full CLOSED position.		
10.	Set SELECTOR VALVE 1 (#5) to AGITATOR position to mix contents of tank by pushing to turn and select setting .	2	40	6	0	0		7	0	Set SELECTOR VALVE 1 (#5) to AGITATOR position to mix contents of tank by pushing to turn and select setting .		
11.	SLOWLY turn PUMP CONTROL VALVE (#7) to full OPEN position.	2	40	6	0	0		7	0	SLOWLY turn PUMP CONTROL VALVE (#7) to full OPEN position.		
12.	Mix tank contents continuously until mission operations begin.	2	40	6	0	0		7	0	Mix tank contents continuously until mission operations begin.		
