span	size	face	marker	line	page
VMDS COMPONENT INSTALLATION ............................................................................. 43	12.0	0	-1	49	3
5.1	12.0	0	0	50	3
TANK INSTALLATION ................................................................................................... 43	12.0	0	-1	50	3
5.2	12.0	0	0	51	3
POWER UNIT INSTALLATION ...................................................................................... 44	12.0	0	-1	51	3
5.3	12.0	0	0	52	3
SPRAY BARS – ATTACHMENT & OPERATION PROCEDURES .............................. 45	12.0	0	-1	52	3
5.4	12.0	0	0	53	3
MONITOR/STANCHION INSTALLATION.................................................................... 48	12.0	0	-1	53	3
VMDS Technical and Operators Manual	9.960000038146973	0	-1	54	4
ver 2019.2.l	9.960000038146973	0	-1	54	4
4	12.0	0	2	55	4
5.5.	12.0	0	0	56	4
INSTALLATION OF REMOTE-CONTROL BOX (CAB OR DISMOUNTED	12.0	0	-1	56	4
OPERATIONS) ........................................................................................................................ 49	12.0	0	-1	57	4
6.0	12.0	0	0	58	4
PRE-OPERATIONAL MAINTENANCE CHECKS (PMCS) .............................................. 50	12.0	0	-1	58	4
6.1	12.0	0	0	59	4
PMCS OF THE ENGINE ................................................................................................... 50	12.0	0	-1	59	4
6.2	12.0	0	0	60	4
PMCS OF THE COMPRESSOR ....................................................................................... 55	12.0	0	-1	60	4
6.3	12.0	0	0	61	4
PMCS OF BATTERY ........................................................................................................ 57	12.0	0	-1	61	4
6.4	12.0	0	0	62	4
PMCS OF FUEL & FUEL SUPPLY FITTINGS ............................................................... 58	12.0	0	-1	62	4
6.5	12.0	0	0	63	4
PMCS OF TANKS ............................................................................................................. 58	12.0	0	-1	63	4
7.0	12.0	0	0	64	4
VMDS OPERATION ............................................................................................................. 60	12.0	0	-1	64	4
7.1	12.0	0	0	65	4
POWER UNIT STARTING PROCEDURE ...................................................................... 60	12.0	0	-1	65	4
7.2	12.0	0	0	66	4
VMDS OPERATION PROCEDURES .............................................................................. 61	12.0	0	-1	66	4
7.2.1	12.0	0	0	67	4
Suction Main Hose (SM) ............................................................................................. 61	12.0	0	-1	67	4
7.2.2	12.0	0	0	68	4
Filling the Holding Tank .............................................................................................. 62	12.0	0	-1	68	4
7.2.3	12.0	0	0	69	4
Drafting Operation ....................................................................................................... 63	12.0	0	-1	69	4
7.2.4	12.0	0	0	70	4
Tank-to-Tank Operation .............................................................................................. 64	12.0	0	-1	70	4
7.2.5	12.0	0	0	71	4
Front Spray Bar Operation ........................................................................................... 65	12.0	0	-1	71	4
7.2.6	12.0	0	0	72	4
Rear Spray Bar Operation ............................................................................................ 66	12.0	0	-1	72	4
7.2.7	12.0	0	0	73	4
Monitor Operation ....................................................................................................... 66	12.0	0	-1	73	4
7.2.8	12.0	0	0	74	4
Wired Remote Monitor Operation ............................................................................... 66	12.0	0	-1	74	4
7.2.9	12.0	0	0	75	4
Line 1 Discharge Operation ......................................................................................... 67	12.0	0	-1	75	4
7.2.10	12.0	0	0	76	4
Line 2 Discharge Operation ....................................................................................... 67	12.0	0	-1	76	4
7.3	12.0	0	0	77	4
TANK CLEANING PROCEDURE ................................................................................... 68	12.0	0	-1	77	4
8.0	12.0	0	0	78	4
BATTERY OPERATION & MAINTENANCE .................................................................... 69	12.0	0	-1	78	4
9.0	12.0	0	0	79	4
FUEL SUPPLY AND RETURN PORTS .............................................................................. 69	12.0	0	-1	79	4
10.0	12.0	0	0	80	4
HOSES .................................................................................................................................. 70	12.0	0	-1	80	4
10.1	12.0	0	0	81	4
VMDS HOSE DESCRIPTIONS ...................................................................................... 70	12.0	0	-1	81	4
10.2	12.0	0	0	82	4
POWER UNIT HOSE CONNECTION COLOR CODE ................................................. 75	12.0	0	-1	82	4
11.0	12.0	0	0	83	4
CAB AND TAILGATE MAGNETS.................................................................................... 75	12.0	0	-1	83	4
12.0	12.0	0	0	84	4
WINTERIZATION AND FREEZE PREVENTION PROCEDURES ................................ 76	12.0	0	-1	84	4
12.1 (STEP #1) INITIAL BLOW-DOWN OPERATION ........................................................ 76	12.0	0	-1	85	4
12.2 (STEP #2) RECREATIONAL VEHICLE (RV) ANTI-FREEZE PROCEDURE ........... 76	12.0	0	-1	86	4
13.0	12.0	0	0	87	4
TROUBLESHOOTING ........................................................................................................ 78	12.0	0	-1	87	4
13.1	12.0	0	0	88	4
PROBLEMS ..................................................................................................................... 78	12.0	0	-1	88	4
13.2   PROGRAMMABLE LOGIC CONTROLLER ERROR CODES .................................. 80	12.0	0	-1	89	4
13.3	12.0	0	0	90	4
TROUBLE SHOOTING – CORRECTIVE ACTIONS ................................................... 81	12.0	0	-1	90	4
VMDS Technical and Operators Manual	9.960000038146973	0	-1	91	5
ver 2019.2.l	9.960000038146973	0	-1	91	5
5	12.0	0	2	92	5
APPENDIX A – SUPERTROPICAL BLEACH (STB) SLURRY MIXING PROCEDURE ..... 85	12.0	0	-1	93	5
APPENDIX B - TANK CLEANING PROCEDURE ................................................................ 103	12.0	0	-1	94	5
VMDS Technical and Operators Manual	9.960000038146973	0	-1	95	6
ver 2019.2.l	9.960000038146973	0	-1	95	6
6	12.0	0	2	96	6
REVISION TRANSMITTAL PAGE	12.0	1	-1	97	6
DATE	12.0	0	-1	98	6
REV NO.	12.0	0	-1	98	6
DESCRIPTION OF CHANGE	12.0	0	-1	98	6
APPROVED BY	12.0	0	-1	98	6
04/03/2019	12.0	0	-1	99	6
2.f	12.0	0	-1	99	6
Incorporation of modifications	12.0	0	-1	99	6
05/07/2019	12.0	0	-1	100	6
2.g	12.0	0	-1	100	6
Incorporation of modifications	12.0	0	-1	100	6
and lessons learned at Dugway	12.0	0	-1	101	6
testing	12.0	0	-1	102	6
05/06/2019	12.0	0	-1	103	6
2.h	12.0	0	-1	103	6
Incorporation of modifications	12.0	0	-1	103	6
08/02/2019	12.0	0	-1	104	6
2.k	12.0	0	-1	104	6
Operation Procedures	12.0	0	-1	104	6
Slurry Operations	12.0	0	-1	105	6
09/18/2019	12.0	0	-1	106	6
2.l	12.0	0	-1	106	6
Incorporation of Government	12.0	0	-1	106	6
Comments	12.0	0	-1	107	6
DISTRIBUTION	12.0	1	-1	108	6
This manual should always be kept with the VMDS Power Unit and used primarily as an additional	12.0	0	-1	109	6
on-site reference guide to operators and maintenance personnel who have already received all	12.0	0	-1	110	6
required classroom, hands-on, and field training applicable to safely operate and/or maintain this	12.0	0	-1	111	6
equipment.  The preferred storage location of this manual is inside the accessory box.	12.0	0	-1	112	6
This manual is for reference use only and is not to be used solely to operate the VMDS system	12.0	0	-1	113	6
without necessary training.   Unit commanders require that all training be documented on the	12.0	0	-1	114	6
Soldiers’ driver’s training records.	12.0	0	-1	115	6
The	12.0	0	-1	116	6
MASTER COPY	12.0	1	-1	116	6
of this complete manual is permanently maintained and on record at	12.0	0	-1	116	6
Intelagard, Inc. the Original Equipment Manufacturer.	12.0	0	-1	117	6
Please direct comments or suggested	12.0	0	-1	117	6
changes to:	12.0	0	-1	118	6
Intelagard, Inc.	11.039999961853027	1	-1	119	6
Attn:  Project Manager, VMDS	11.039999961853027	0	-1	120	6
3101 Industrial Lane, Suite C	11.039999961853027	0	-1	121	6
Broomfield, CO 80020	11.039999961853027	0	-1	122	6
USA	11.039999961853027	0	-1	123	6
1-800-468-6090 (USA); 303-309-6309	11.039999961853027	0	-1	124	6
www.intelagard.com	14.039999961853027	0	-1	125	6
info@intelagard.com	11.039999961853027	0	-1	126	6
This Operator’s Manual pertains to the “Version B” VMDS system, incorporating design	12.0	1	-1	127	6
changes that were requested by the end users and the JPM-Protection from October 2018	12.0	1	-1	128	6
through August 2019.	12.0	1	-1	129	6
The Serial Numbers of the Version B systems start with VM000004.	12.0	1	-1	129	6
VMDS Technical and Operators Manual	9.960000038146973	0	-1	130	7
ver 2019.2.l	9.960000038146973	0	-1	130	7
7	12.0	0	2	131	7
WARNING SUMMARY (GENERAL)	12.0	1	-1	132	7
WARNING!	12.0	1	-1	133	7
DEATH OR SEVERE INJURY MAY RESULT IF PERSONNEL FAIL TO	9.960000038146973	1	-1	133	7
OBSERVE WARNINGS	9.960000038146973	1	-1	134	7
•	12.0	0	1	135	7
Remove all jewelry before starting work.	12.0	0	-1	135	7
Metal objects such as rings or tools can cause	12.0	0	-1	135	7
grave injuries and equipment damage.	12.0	0	-1	136	7
•	12.0	0	1	137	7
Do not allow tools to contact live circuits.	12.0	0	-1	137	7
A direct short can cause instant heating of tools	12.0	0	-1	137	7
resulting in equipment damage and personnel burns.	12.0	0	-1	138	7
Failure to comply may result in	12.0	0	-1	138	7
personal injury.	12.0	0	-1	139	7
•	12.0	0	1	140	7
TOXIC CHEMICALS, DIESEL FUEL, VOLTAGE (12V DC) are used in the operation	12.0	0	-1	140	7
of the equipment.	12.0	0	-1	141	7
CARBON-MONOXIDE is present in the exhaust gases of the engine.	12.0	0	-1	141	7
•	12.0	0	1	142	7
ALWAYS wear military standard personal protective equipment (PPE) when handling,	12.0	0	-1	142	7
mixing and using decontamination solutions.	12.0	0	-1	143	7
•	12.0	0	1	144	7
Wear hearing protection when near (within 30 feet of) the running power unit.	12.0	0	-1	144	7
•	12.0	0	1	145	7
An operator must be in attendance at all times during operation of the power unit.	12.0	0	-1	145	7
•	12.0	0	1	146	7
Make certain that the fuel supply and fuel return lines are properly connected before	12.0	0	-1	146	7
operating the power unit	12.0	0	-1	147	7
•	12.0	0	1	148	7
Authorized fuel will be obtained only from authorized fuel services or fuel trucks.	12.0	0	-1	148	7
Siphoning fuel from vehicles is prohibited.	12.0	0	-1	149	7
•	12.0	0	1	150	7
When operating tank drain valves and couplings wear gloves to help prevent injury to	12.0	0	-1	150	7
fingers and hands.	12.0	0	-1	151	7
•	12.0	0	1	152	7
Keep decontaminant containers closed and stored in a cool dry place.	12.0	0	-1	152	7
Mix only in	12.0	0	-1	152	7
accordance with directions for use.	12.0	0	-1	153	7
•	12.0	0	1	154	7
Keep clear of the exhaust stack during operation of the power unit.	12.0	0	-1	154	7
<img0002>	-1.0	-1	-1	155	7
VMDS Technical and Operators Manual	9.960000038146973	0	-1	156	8
ver 2019.2.l	9.960000038146973	0	-1	156	8
8	12.0	0	2	157	8
WARNING SUMMARY (SPECIFIC)	12.0	1	-1	158	8
Although every effort has been taken to ensure that the VMDS is safe to operate, the operator	12.0	0	-1	159	8
MUST	12.0	1	-1	160	8
be aware that this system uses pressurized water to apply decontamination solutions onto	12.0	0	-1	160	8
a target.	12.0	0	-1	161	8
Precautions	12.0	0	-1	161	8
MUST	12.0	1	-1	161	8
be taken to ensure operator safety.	12.0	0	-1	161	8
Operators must read this manual and be familiar with the safety considerations outlined herein.	12.0	0	-1	162	8
Refer to the	12.0	0	-1	163	8
Warning Summary	12.0	1	-1	163	8
in this manual for an explanation of potential risks.	12.0	0	-1	163	8
Throughout this manual	12.0	0	-1	164	8
Important Procedures	12.0	1	-1	164	8
,	12.0	0	-1	164	8
Cautions	12.0	1	-1	164	8
and	12.0	0	-1	164	8
Warnings	12.0	1	-1	164	8
will be clearly	12.0	0	-1	164	8
identified with the symbol below.  Ensure the cautions, warnings and procedures specified herein	12.0	0	-1	165	8
are closely followed.	12.0	0	-1	166	8
This symbol is used throughout this manual to clearly	12.0	0	-1	167	8
indicate an	12.0	0	-1	168	8
important procedural step or warning	12.0	1	-1	168	8
statement.	12.0	1	-1	169	8
When	12.0	0	-1	170	8
accompanied	12.0	0	-1	170	8
with	12.0	0	-1	170	8
the	12.0	0	-1	170	8
word	12.0	0	-1	170	8
""""	12.0	0	-1	171	8
WARNING	12.0	1	-1	171	8
""" this symbol indicates that personal injury or"	12.0	0	-1	171	8
possibly death could result from not obeying the guidance	12.0	0	-1	172	8
given.	12.0	0	-1	173	8
ADDITIONAL WARNINGS ARE LOCATED TROUGHOUT THIS MANUAL	12.0	1	-1	174	8
<img0003>	-1.0	-1	-1	175	8
<img0004>	-1.0	-1	-1	176	8
VMDS Technical and Operators Manual	9.960000038146973	0	-1	177	9
ver 2019.2.l	9.960000038146973	0	-1	177	9
9	12.0	0	2	178	9
WARNING SUMMARY - Continued	12.0	1	-1	179	9
WARNING!	12.0	1	-1	180	9
Personnel using the VMDS must be educated in the basic principles	12.0	0	-1	180	9
of decontamination to mitigate the risks of performing these inherently dangerous	12.0	0	-1	181	9
operations.	12.0	0	-1	182	9
Personal Protective Equipment (PPE) is always required.	12.0	0	-1	182	9
WARNING!	12.0	1	-1	183	9
This system uses pressurized air (~100 psi) as an energy source to	12.0	0	-1	183	9
both create and propel decontamination solutions onto a target.	12.0	0	-1	184	9
Before operation,	12.0	0	-1	184	9
always verify that all hoses and accessories are properly connected.	12.0	0	-1	185	9
Always	12.0	0	-1	185	9
inspect the unit to ensure that the integrity of air lines and liquid hoses are not	12.0	0	-1	186	9
compromised and are serviceable IAW the PMCS guidance set forth in this	12.0	0	-1	187	9
manual.	12.0	0	-1	188	9
After operation, always turn off the liquid supply line valves and bleed	12.0	0	-1	188	9
the discharge hose(s) to relieve the system of pressure.	12.0	0	-1	189	9
Failure to do so can result	12.0	0	-1	189	9
in injury and/or system damage.	12.0	0	-1	190	9
WARNING!	12.0	1	-1	191	9
The VMDS deploys various chemical and/or biological	12.0	0	-1	191	9
decontamination solutions.	12.0	0	-1	192	9
Operator must be fully trained in this type of	12.0	0	-1	192	9
operation.	12.0	0	-1	193	9
Military standard personal protective equipment (PPE) is required	12.0	0	-1	193	9
prior, during and after decontamination operations.	12.0	0	-1	194	9
WARNING!	12.0	1	-1	195	9
ALWAYS	12.0	1	-1	195	9
wear eye and hearing protection while operating the	12.0	0	-1	195	9
VMDS.	12.0	0	-1	196	9
WARNING!	12.0	1	-1	197	9
When working with any decontaminant, take appropriate measures	12.0	0	-1	197	9
to avoid getting the substance into eyes and mouth or on skin.	12.0	0	-1	198	9
In the event of eye,	12.0	0	-1	198	9
mouth or skin contact, refer to product Safety Data Sheet (SDS) for emergencies	12.0	0	-1	199	9
or first aid.	12.0	0	-1	200	9
WARNING!	12.0	1	-1	201	9
Liquids deployed by this system may be slippery.	12.0	0	-1	201	9
Every effort	12.0	0	-1	201	9
should be made to control accidental slippage and to avoid walking on areas where	12.0	0	-1	202	9
liquid has been spilled and/or applied.	12.0	0	-1	203	9
WARNING!	12.0	1	-1	204	9
NEVER	12.0	1	-1	204	9
operate the VMDS if it has an identified air leak or worn	12.0	0	-1	204	9
or damaged airline or discharge hose.	12.0	0	-1	205	9
Once pressurized, a loose/leaking/damaged	12.0	0	-1	205	9
connection and/or hose may disconnect or rupture, potentially causing serious	12.0	0	-1	206	9
injury.	12.0	0	-1	207	9
<img0005>	-1.0	-1	-1	208	9
<img0006>	-1.0	-1	-1	209	9
<img0007>	-1.0	-1	-1	210	9
<img0008>	-1.0	-1	-1	211	9
<img0009>	-1.0	-1	-1	212	9
<img0010>	-1.0	-1	-1	213	9
<img0011>	-1.0	-1	-1	214	9
VMDS Technical and Operators Manual	9.960000038146973	0	-1	215	10
ver 2019.2.l	9.960000038146973	0	-1	215	10
10	12.0	0	2	216	10
WARNING!	12.0	1	-1	217	10
ALWAYS	12.0	1	-1	217	10
treat the VMDS as though the discharge line(s) are	12.0	0	-1	217	10
pressurized.	12.0	0	-1	218	10
Once the system is pressurized, it will remain so until the air supply	12.0	0	-1	218	10
is turned off and the system is completely depressurized via checking the air	12.0	0	-1	219	10
pressure gauge or the lack of a hissing sound.	12.0	0	-1	220	10
WARNING!	12.0	1	-1	221	10
When using the VMDS,	12.0	0	-1	221	10
ALWAYS	12.0	1	-1	221	10
ensure that all connections,	12.0	0	-1	221	10
hoses and nozzles are tightly attached, and point all discharge devices in a safe	12.0	0	-1	222	10
direction.	12.0	0	-1	223	10
WARNING!	12.0	1	-1	224	10
The VMDS engine runs on diesel fuel.	12.0	0	-1	224	10
Observe all applicable	12.0	0	-1	224	10
precautions when handling, storing or dispensing fuels.	12.0	0	-1	225	10
WARNING!	12.0	1	-1	226	10
The VMDS power unit uses a 12V DC battery to supply electrical	12.0	0	-1	226	10
energy to the starter.	12.0	0	-1	227	10
To mitigate risks associated with the battery/charging	12.0	0	-1	227	10
system, do not remove or install any cables while the system is running or	12.0	0	-1	228	10
energized.	12.0	0	-1	229	10
Never allow any object to touch metal components in the battery box	12.0	0	-1	229	10
or other electrical components.	12.0	0	-1	230	10
WARNING!	12.0	1	-1	231	10
Disconnect all battery cables before servicing the VMDS engine.	12.0	0	-1	231	10
WARNING!	12.0	1	-1	232	10
Some parts of this system, especially the exhaust system, may be	12.0	0	-1	232	10
hot to the touch during and after operation.	12.0	0	-1	233	10
NEVER	12.0	1	-1	233	10
attempt to service internal	12.0	1	-1	233	10
components while the VMDS is running!	12.0	1	-1	234	10
Once the system is shut down, allow	12.0	0	-1	234	10
adequate time for components to cool before attempting to service any internal	12.0	0	-1	235	10
components.	12.0	0	-1	236	10
WARNING!	12.0	1	-1	237	10
ALWAYS	12.0	1	-1	237	10
ensure the spray/hose operator has a firm grip and stance	12.0	0	-1	237	10
before opening the discharge hose(s). The VMDS propels solutions with	12.0	0	-1	238	10
significant force!	12.0	0	-1	239	10
Once the system is pressurized, never let go of the hose.	12.0	0	-1	239	10
A loose	12.0	0	-1	239	10
discharge hose will whip around violently and can cause serious injury and/or	12.0	0	-1	240	10
equipment damage.	12.0	0	-1	241	10
Always close the Pump Control valve on Power Unit Control	12.0	0	-1	241	10
Panel and relieve pressure from discharge line before releasing the hose.	12.0	0	-1	242	10
<img0012>	-1.0	-1	-1	243	10
<img0013>	-1.0	-1	-1	244	10
<img0014>	-1.0	-1	-1	245	10
<img0015>	-1.0	-1	-1	246	10
<img0016>	-1.0	-1	-1	247	10
<img0017>	-1.0	-1	-1	248	10
<img0018>	-1.0	-1	-1	249	10
VMDS Technical and Operators Manual	9.960000038146973	0	-1	250	11
ver 2019.2.l	9.960000038146973	0	-1	250	11
11	12.0	0	2	251	11
GENERAL OVERVIEW	12.0	1	-1	252	11
The Vehicle Modular Decontamination System (VMDS) is a modular, diesel-driven system	12.0	0	-1	253	11
specifically designed for rapid, mobile decontamination missions for terrain and military	12.0	0	-1	254	11
equipment.	12.0	0	-1	255	11
This system is designed to be operated while mounted in the back of a vehicle or on a	12.0	0	-1	255	11
trailer, while stationary or mobile.	12.0	0	-1	256	11
The VMDS Power Unit uses a Diesel engine-powered air compressor to provide energy to create	12.0	0	-1	257	11
and propel decontamination solutions through a 1 ½-inch (3.81 cm) pump.	12.0	0	-1	258	11
It deploys these	12.0	0	-1	258	11
solutions through vehicle- or trailer-mounted spray bars, a remote-control stanchion-mounted	12.0	0	-1	259	11
monitor (water cannon) and non-collapsible hoses with D-bale handset(s). The VMDS is capable	12.0	0	-1	260	11
of drafting from external water sources such as bulk tanks or natural water sources.	12.0	0	-1	261	11
In addition to	12.0	0	-1	261	11
the Power Unit, the VMDS incorporates two solution-mixing tanks with fill capacities of 750	12.0	0	-1	262	11
gallons each tank.	12.0	0	-1	263	11
Tanks are constructed with internal baffles to minimize liquid movement and	12.0	0	-1	263	11
weight shift during transport.	12.0	0	-1	264	11
The VMDS can deploy decontamination solutions in three forms: liquid, foam, and slurry.	12.0	0	-1	265	11
Liquid	12.0	1	-1	266	11
– Non-expanded (1:1 expansion ratio) – no addition of air into the stream.	12.0	0	-1	266	11
Compressed Air Foam	12.0	1	-1	267	11
(CAF) - Expanded (up to ~20:1 air to liquid ratio) which is generated by	12.0	0	-1	267	11
on board air injection into the liquid solution.	12.0	0	-1	268	11
This expansion rate can be realized when using	12.0	0	-1	268	11
surfactant-based decontaminant solutions.  CAF is activated using the air control valve on the front	12.0	0	-1	269	11
panel of the Power Unit.	12.0	0	-1	270	11
Slurry	12.0	1	-1	271	11
– Non-expanded, highly concentrated solution that is applied in a thick, cake-batter like	12.0	0	-1	271	11
consistency.	12.0	0	-1	272	11
ADDITIONAL SYSTEM PERFORMANCE CHARACTERISTICS:	12.0	1	-1	273	11
•	12.0	0	1	274	11
Expansion: 1:1 (liquid application) to ~20:1(CAF application)	12.0	0	-1	274	11
•	12.0	0	1	275	11
Output Stream: 90-95 gpm	12.0	0	-1	275	11
•	12.0	0	1	276	11
Output Throw Distance: Up to ~90 ft (Dependent upon user settings, decontaminant	12.0	0	-1	276	11
or foaming product, nozzle, wind and other factors)	12.0	0	-1	277	11
•	12.0	0	1	278	11
Zero-Prime Drafting: Up to ~20 ft. vertical lift	12.0	0	-1	278	11
•	12.0	0	1	279	11
Hydrant Fill Capability:  Yes (Directly into tank, not via DRAFT mode)	12.0	0	-1	279	11
VMDS Technical and Operators Manual	9.960000038146973	0	-1	280	12
ver 2019.2.l	9.960000038146973	0	-1	280	12
12	12.0	0	2	281	12
VMDS QUICK START PROCEDURE	12.0	1	-1	282	12
WARNING!	12.0	1	-1	283	12
DO NOT attempt to use this Quick Start to place the system into operation without	12.0	0	-1	283	12
FIRST reviewing all warnings, cautions and maintenance related material in this manual.  This	12.0	0	-1	284	12
Quick Start is intended for experienced system operators who fully understand safe operation of	12.0	0	-1	285	12
this system and all maintenance considerations.	12.0	0	-1	286	12
IMPORTANT!	12.0	1	-1	286	12
Before initiating startup of the	12.0	1	-1	286	12
VMDS, ensure that all discharge ports are CLOSED.	12.0	1	-1	287	12
OPEN and EMPTY all discharge hoses	12.0	1	-1	287	12
and devices, then return to normal CLOSED and OFF positions.	12.0	1	-1	288	12
IMPORTANT: Ensure the	12.0	1	-1	288	12
PUMP CONTROL (7,9,11) and AIR CONTROL (6) VALVES are in OFF positions.	12.0	1	-1	289	12
Figure 1.	12.0	0	-1	290	12
Operator Controls on the Front Face of the Power Unit	12.0	0	-1	290	12
1.	12.0	0	2	291	12
Press the	12.0	0	-1	291	12
GREEN	12.0	1	-1	291	12
(#1) start button	12.0	0	-1	291	12
ONE TIME	12.0	1	-1	291	12
. Status display in window shows software	12.0	0	-1	291	12
loading.	12.0	0	-1	292	12
2.	12.0	0	2	293	12
Press the	11.039999961853027	0	-1	293	12
GREEN	11.039999961853027	1	-1	293	12
(#1)	11.039999961853027	0	-1	293	12
start engine button a second time; the	11.039999961853027	0	-1	293	12
RED	11.039999961853027	1	-1	293	12
LED glow plug light (#2) will	11.039999961853027	0	-1	293	12
light up for approximately 6 seconds.	11.039999961853027	0	-1	294	12
Then engine will start.	11.039999961853027	0	-1	294	12
For a brief second, the	12.0	0	-1	294	12
RED	12.0	1	-1	294	12
OIL	12.0	1	-1	294	12
PRESSURE	12.0	1	-1	295	12
light will flash - this is normal.	12.0	0	-1	295	12
3.	12.0	0	2	296	12
After the engine starts there will be a 10 second delay before the compressor will engage.	12.0	0	-1	296	12
Once you hear the engine RPMs drop, this means the compressor is now engaged and the	12.0	0	-1	297	12
unit is fully operational.	12.0	0	-1	298	12
NOTE	12.0	1	-1	299	12
– If the engine stalls for any reason, press the	12.0	0	-1	299	12
RED	12.0	1	-1	299	12
stop button (#3) twice.	12.0	0	-1	299	12
Wait at	12.0	0	-1	299	12
least a minute before attempting to restart.	12.0	0	-1	300	12
The engine will not restart properly if it is under	12.0	0	-1	300	12
compressed air load	12.0	0	-1	301	12
.	12.0	0	-1	301	12
Wait for the hissing noise to subside.	12.0	0	-1	301	12
4.	12.0	0	2	302	12
Add decontaminant to HOPPER/BLENDER in tank (not shown).	12.0	0	-1	302	12
5.	12.0	0	2	303	12
Place S ELECTOR VALVE 1 (#5) in DRAFT position	12.0	0	-1	303	12
by pushing to turn and select	12.0	1	-1	303	12
.	12.0	0	-1	303	12
6.	12.0	0	2	304	12
Place AIR CONTROL VALVE (#6) in OFF/WET position.	12.0	0	-1	304	12
<img0019>	-1.0	-1	-1	305	12
