prefix	c0	content	size	face	marker	line	page	x0	y0	x1	y1	caption	mask	spacing	chunk	group	type	section	subsection	subsubsection	title	section_tag	image_url
3.1	TANK SELECTOR VALVE ASSEMBLY ....................................................................... 38	TANK SELECTOR VALVE ASSEMBLY ....................................................................... 38	12.0	0	0	44	3	13.729412103790084	67.00429434728142	88.58102038015727	69.02550591362848	0	0	0.4	39	10	0	-1	-1	-1		1	
3.2	AGITATOR ........................................................................................................................ 39	AGITATOR ........................................................................................................................ 39	12.0	0	0	45	3	13.729412103790084	69.36793471827652	88.58102038015727	71.38914628462358	0	0	0.3	40	10	0	-1	-1	-1		1	
3.3	HOPPER/BLENDER .......................................................................................................... 39	HOPPER/BLENDER .......................................................................................................... 39	12.0	0	0	46	3	13.729412103790084	71.74671828144729	88.58102038015727	73.76792984779435	0	0	0.4	41	10	0	-1	-1	-1		1	
3.4	DE-ICER KIT ..................................................................................................................... 40	DE-ICER KIT ..................................................................................................................... 40	12.0	0	0	47	3	13.729412103790084	74.12550955107719	88.58102038015727	76.14672111742425	0	0	0.4	42	10	0	-1	-1	-1		1	
4.0	DESCRIPTION OF NOZZLES – FUNCTIONS & USE ...................................................... 42	DESCRIPTION OF NOZZLES – FUNCTIONS & USE ...................................................... 42	12.0	0	0	48	3	11.768627790064594	76.49293379350142	88.58102038015727	78.51414535984848	0	0	0.3	43	10	0	-1	-1	-1		1	
5.0	VMDS COMPONENT INSTALLATION ............................................................................. 43	VMDS COMPONENT INSTALLATION ............................................................................. 43	12.0	0	0	49	3	11.768627790064594	78.87171735667219	88.58102038015727	80.89292892301926	0	0	0.4	44	10	0	-1	-1	-1		1	
5.1	TANK INSTALLATION ................................................................................................... 43	TANK INSTALLATION ................................................................................................... 43	12.0	0	0	50	3	13.729412103790084	81.25050862630209	88.58102038015727	83.27172019264916	0	0	0.4	45	10	0	-1	-1	-1		1	
5.2	POWER UNIT INSTALLATION ...................................................................................... 44	POWER UNIT INSTALLATION ...................................................................................... 44	12.0	0	0	51	3	13.729412103790084	83.61414129083808	88.58102038015727	85.63535285718514	0	0	0.3	46	10	0	-1	-1	-1		1	
5.3	SPRAY BARS – ATTACHMENT & OPERATION PROCEDURES .............................. 45	SPRAY BARS – ATTACHMENT & OPERATION PROCEDURES .............................. 45	12.0	0	0	52	3	13.729412103790084	85.99242393416588	88.58102038015727	88.01363550051295	0	0	0.4	47	10	0	-1	-1	-1		1	
5.4	MONITOR/STANCHION INSTALLATION.................................................................... 48	MONITOR/STANCHION INSTALLATION.................................................................... 48	12.0	0	0	53	3	13.729412103790084	88.37121520379577	88.58102038015727	90.39242677014283	0	0	0.4	48	10	0	-1	-1	-1		1	
	VMDS Technical and Operators Manual	VMDS Technical and Operators Manual ver 2019.2.l	9.960000038146973	0	-1	54	4	11.768627790064594	4.375376845851089	82.82171511182598	6.103285876187412	0	1	-86.0	49	10	0	-1	-1	-1		1	
4			12.0	0	2	55	4	11.768627790064594	91.77726976799244	13.411765005074296	93.85909263533776	0	0	85.7	50	10	0	-1	-1	-1		1	
5.5.	INSTALLATION OF REMOTE-CONTROL BOX (CAB OR DISMOUNTED	INSTALLATION OF REMOTE-CONTROL BOX (CAB OR DISMOUNTED	12.0	0	0	56	4	13.729412103790084	8.904541863335504	79.82188704746221	10.925754392989958	0	0	-85.0	51	10	0	-1	-1	-1		1	
	OPERATIONS) ........................................................................................................................ 49	OPERATIONS) ........................................................................................................................ 49	12.0	0	-1	57	4	13.729412103790084	10.649492283060093	88.58102038015727	12.670704812714549	0	0	-0.3	51	10	1	-1	-1	-1		1	
6.0	PRE-OPERATIONAL MAINTENANCE CHECKS (PMCS) .............................................. 50	PRE-OPERATIONAL MAINTENANCE CHECKS (PMCS) .............................................. 50	12.0	0	0	58	4	11.768627790064594	13.028283552689986	88.58102038015727	15.049496082344442	0	0	0.4	52	11	0	-1	-1	-1		1	
6.1	PMCS OF THE ENGINE ................................................................................................... 50	PMCS OF THE ENGINE ................................................................................................... 50	12.0	0	0	59	4	13.729412103790084	15.391916217225972	88.58102038015727	17.413127783573035	0	0	0.3	53	11	0	-1	-1	-1		1	
6.2	PMCS OF THE COMPRESSOR ....................................................................................... 55	PMCS OF THE COMPRESSOR ....................................................................................... 55	12.0	0	0	60	4	13.729412103790084	17.770707486855866	88.58102038015727	19.79191905320293	0	0	0.4	54	11	0	-1	-1	-1		1	
6.3	PMCS OF BATTERY ........................................................................................................ 57	PMCS OF BATTERY ........................................................................................................ 57	12.0	0	0	61	4	13.729412103790084	20.149491050026636	88.58102038015727	22.1707026163737	0	0	0.4	55	11	0	-1	-1	-1		1	
6.4	PMCS OF FUEL & FUEL SUPPLY FITTINGS ............................................................... 58	PMCS OF FUEL & FUEL SUPPLY FITTINGS ............................................................... 58	12.0	0	0	62	4	13.729412103790084	22.513131421021743	88.58102038015727	24.534342987368806	0	0	0.3	56	11	0	-1	-1	-1		1	
6.5	PMCS OF TANKS ............................................................................................................. 58	PMCS OF TANKS ............................................................................................................. 58	12.0	0	0	63	4	13.729412103790084	24.891922690651636	88.58102038015727	26.9131342569987	0	0	0.4	57	11	0	-1	-1	-1		1	
7.0	VMDS OPERATION ............................................................................................................. 60	VMDS OPERATION ............................................................................................................. 60	12.0	0	0	64	4	11.768627790064594	27.270706253822407	88.58102038015727	29.29191782016947	0	0	0.4	58	11	0	-1	-1	-1		1	
7.1	POWER UNIT STARTING PROCEDURE ...................................................................... 60	POWER UNIT STARTING PROCEDURE ...................................................................... 60	12.0	0	0	65	4	13.729412103790084	29.634346624817514	88.58102038015727	31.655558191164577	0	0	0.3	59	11	0	-1	-1	-1		1	
7.2	VMDS OPERATION PROCEDURES .............................................................................. 61	VMDS OPERATION PROCEDURES .............................................................................. 61	12.0	0	0	66	4	13.729412103790084	32.01692176587654	88.58102038015727	34.03813525883839	0	0	0.4	60	11	0	-1	-1	-1		1	
7.2.1	Suction Main Hose (SM) ............................................................................................. 61	Suction Main Hose (SM) ............................................................................................. 61	12.0	0	0	67	4	15.690196417515574	34.39570725566209	88.58102038015727	36.41691882200916	0	0	0.4	61	11	0	-1	-1	-1		1	
7.2.2	Filling the Holding Tank .............................................................................................. 62	Filling the Holding Tank .............................................................................................. 62	12.0	0	0	68	4	15.690196417515574	36.75934377342764	88.58102038015727	38.7805553397747	0	0	0.3	62	11	0	-1	-1	-1		1	
7.2.3	Drafting Operation ....................................................................................................... 63	Drafting Operation ....................................................................................................... 63	12.0	0	0	69	4	15.690196417515574	39.138131189827966	88.58102038015727	41.159342756175036	0	0	0.4	63	11	0	-1	-1	-1		1	
7.2.4	Tank-to-Tank Operation .............................................................................................. 64	Tank-to-Tank Operation .............................................................................................. 64	12.0	0	0	70	4	15.690196417515574	41.51692245945786	88.58102038015727	43.53813402580493	0	0	0.4	64	11	0	-1	-1	-1		1	
7.2.5	Front Spray Bar Operation ........................................................................................... 65	Front Spray Bar Operation ........................................................................................... 65	12.0	0	0	71	4	15.690196417515574	43.88055897722341	88.58102038015727	45.90177054357047	0	0	0.3	65	11	0	-1	-1	-1		1	
7.2.6	Rear Spray Bar Operation ............................................................................................ 66	Rear Spray Bar Operation ............................................................................................ 66	12.0	0	0	72	4	15.690196417515574	46.25934639362374	88.58102038015727	48.28055795997081	0	0	0.4	66	11	0	-1	-1	-1		1	
7.2.7	Monitor Operation ....................................................................................................... 66	Monitor Operation ....................................................................................................... 66	12.0	0	0	73	4	15.690196417515574	48.63813381002407	88.58102038015727	50.659345376371135	0	0	0.4	67	11	0	-1	-1	-1		1	
7.2.8	Wired Remote Monitor Operation ............................................................................... 66	Wired Remote Monitor Operation ............................................................................... 66	12.0	0	0	74	4	15.690196417515574	51.00177032778962	88.58102038015727	53.022981894136684	0	0	0.3	68	11	0	-1	-1	-1		1	
7.2.9	Line 1 Discharge Operation ......................................................................................... 67	Line 1 Discharge Operation ......................................................................................... 67	12.0	0	0	75	4	15.690196417515574	53.38308160955256	88.58102038015727	55.404293175899625	0	0	0.4	69	11	0	-1	-1	-1		1	
7.2.10	Line 2 Discharge Operation ....................................................................................... 67	Line 2 Discharge Operation ....................................................................................... 67	12.0	0	0	76	4	15.690196417515574	55.746718127318104	88.58102038015727	57.767929693665174	0	0	0.3	70	11	0	-1	-1	-1		1	
7.3	TANK CLEANING PROCEDURE ................................................................................... 68	TANK CLEANING PROCEDURE ................................................................................... 68	12.0	0	0	77	4	13.729412103790084	58.12550554371844	88.58102038015727	60.1467171100655	0	0	0.4	71	11	0	-1	-1	-1		1	
8.0	BATTERY OPERATION & MAINTENANCE .................................................................... 69	BATTERY OPERATION & MAINTENANCE .................................................................... 69	12.0	0	0	78	4	11.768627790064594	60.50429296011877	88.58102038015727	62.52550452646583	0	0	0.4	72	11	0	-1	-1	-1		1	
9.0	FUEL SUPPLY AND RETURN PORTS .............................................................................. 69	FUEL SUPPLY AND RETURN PORTS .............................................................................. 69	12.0	0	0	79	4	11.768627790064594	62.86792947788432	88.58102038015727	64.88914104423138	0	0	0.3	73	11	0	-1	-1	-1		1	
10.0	HOSES .................................................................................................................................. 70	HOSES .................................................................................................................................. 70	12.0	0	0	80	4	11.768627790064594	65.2467207475142	88.58102038015727	67.26793231386128	0	0	0.4	74	11	0	-1	-1	-1		1	
10.1	VMDS HOSE DESCRIPTIONS ...................................................................................... 70	VMDS HOSE DESCRIPTIONS ...................................................................................... 70	12.0	0	0	81	4	13.729412103790084	67.62550431068497	88.58102038015727	69.64671587703204	0	0	0.4	75	11	0	-1	-1	-1		1	
10.2	POWER UNIT HOSE CONNECTION COLOR CODE ................................................. 75	POWER UNIT HOSE CONNECTION COLOR CODE ................................................. 75	12.0	0	0	82	4	13.729412103790084	69.98914468168009	88.58102038015727	72.01035624802715	0	0	0.3	76	11	0	-1	-1	-1		1	
11.0	CAB AND TAILGATE MAGNETS.................................................................................... 75	CAB AND TAILGATE MAGNETS.................................................................................... 75	12.0	0	0	83	4	11.768627790064594	72.36792824485086	88.58102038015727	74.38913981119792	0	0	0.4	77	11	0	-1	-1	-1		1	
12.0	WINTERIZATION AND FREEZE PREVENTION PROCEDURES ................................ 76	WINTERIZATION AND FREEZE PREVENTION PROCEDURES ................................ 76	12.0	0	0	84	4	11.768627790064594	74.74671951448074	88.58102038015727	76.76793108082781	0	0	0.4	78	11	0	-1	-1	-1		1	
	12.1 (STEP #1) INITIAL BLOW-DOWN OPERATION ........................................................ 76	12.1 (STEP #1) INITIAL BLOW-DOWN OPERATION ........................................................ 76	12.0	0	-1	85	4	13.729412103790084	77.114143756905	88.58102038015727	79.13535532325206	0	0	0.3	78	11	1	-1	-1	-1		1	
	12.2 (STEP #2) RECREATIONAL VEHICLE (RV) ANTI-FREEZE PROCEDURE ........... 76	12.2 (STEP #2) RECREATIONAL VEHICLE (RV) ANTI-FREEZE PROCEDURE ........... 76	12.0	0	-1	86	4	13.729412103790084	79.49292732007576	88.58102038015727	81.51413888642283	0	0	0.4	79	12	0	-1	-1	-1		1	
13.0	TROUBLESHOOTING ........................................................................................................ 78	TROUBLESHOOTING ........................................................................................................ 78	12.0	0	0	87	4	11.768627790064594	81.87171858970565	88.58102038015727	83.89293015605271	0	0	0.4	80	12	0	-1	-1	-1		1	
13.1	PROBLEMS ..................................................................................................................... 78	PROBLEMS ..................................................................................................................... 78	12.0	0	0	88	4	13.729412103790084	84.23535896070076	88.58102038015727	86.25657052704783	0	0	0.3	81	12	0	-1	-1	-1		1	
	13.2   PROGRAMMABLE LOGIC CONTROLLER ERROR CODES .................................. 80	13.2   PROGRAMMABLE LOGIC CONTROLLER ERROR CODES .................................. 80	12.0	0	-1	89	4	13.729412103790084	86.61363389756946	88.58102038015727	88.63484546391652	0	0	0.4	82	12	0	-1	-1	-1		1	
13.3	TROUBLE SHOOTING – CORRECTIVE ACTIONS ................................................... 81	TROUBLE SHOOTING – CORRECTIVE ACTIONS ................................................... 81	12.0	0	0	90	4	13.729412103790084	88.99242516719934	88.58102038015727	91.0136367335464	0	0	0.4	83	12	0	-1	-1	-1		1	
	VMDS Technical and Operators Manual	VMDS Technical and Operators Manual ver 2019.2.l	9.960000038146973	0	-1	91	5	11.768627790064594	4.375376845851089	82.82171511182598	6.103285876187412	0	1	-86.6	84	12	0	-1	-1	-1		1	
5			12.0	0	2	92	5	11.768627790064594	91.77726976799244	13.411765005074296	93.85909263533776	0	0	85.7	85	12	0	-1	-1	-1		1	
	APPENDIX A – SUPERTROPICAL BLEACH (STB) SLURRY MIXING PROCEDURE ..... 85	APPENDIX A – SUPERTROPICAL BLEACH (STB) SLURRY MIXING PROCEDURE ..... 85	12.0	0	-1	93	5	11.768627790064594	8.904541863335504	88.58102038015727	10.925754392989958	0	0	-85.0	86	12	0	-1	-1	-1		1	
	APPENDIX B - TANK CLEANING PROCEDURE ................................................................ 103	APPENDIX B - TANK CLEANING PROCEDURE ................................................................ 103	12.0	0	-1	94	5	11.768627790064594	11.285860851557569	88.58102038015727	13.307073381212023	0	0	0.4	87	12	0	-1	-1	-1		1	
	VMDS Technical and Operators Manual	VMDS Technical and Operators Manual ver 2019.2.l	9.960000038146973	0	-1	95	6	11.768627790064594	4.375376845851089	82.82171511182598	6.103285876187412	0	1	-8.9	88	12	0	-1	-1	-1		1	
6			12.0	0	2	96	6	11.768627790064594	91.77726976799244	13.411765005074296	93.85909263533776	0	0	85.7	89	12	0	-1	-1	-1		1	
	REVISION TRANSMITTAL PAGE	REVISION TRANSMITTAL PAGE	12.0	1	-1	97	6	11.768627790064594	8.918178442752723	42.988561493119384	11.016663638028232	0	0	-84.9	90	12	0	1	0	0	REVISION TRANSMITTAL PAGE	2	
	DATE	DATE REV NO. DESCRIPTION OF CHANGE APPROVED BY	12.0	0	-1	98	6	12.690196317784928	13.604040820189198	84.1928120532067	15.625253349843652	0	0	2.6	91	12	0	1	0	0		2	
	04/03/2019	04/03/2019 2.f Incorporation of modifications	12.0	0	-1	99	6	12.690196317784928	16.5585893573183	66.63888669481464	18.579800923665367	0	0	0.9	92	12	0	1	0	0		2	
	05/07/2019	05/07/2019 2.g Incorporation of modifications	12.0	0	-1	100	6	12.690196317784928	19.51313018798828	66.62190256555095	21.534341754335347	0	0	0.9	93	13	1	1	0	0		2	
	and lessons learned at Dugway	and lessons learned at Dugway	12.0	0	-1	101	6	42.06699545866524	21.391918683292893	66.82581683389502	23.413130249639956	0	0	-0.1	93	13	1	1	0	0		2	
	testing	testing	12.0	0	-1	102	6	42.06699545866524	23.2707071785975	47.79248206444036	25.291918744944564	0	0	-0.1	93	13	1	1	0	0		2	
	05/06/2019	05/06/2019 2.h Incorporation of modifications	12.0	0	-1	103	6	12.690196317784928	26.225255715726604	67.12908277324601	28.246467282073667	0	0	0.9	94	14	0	1	0	0		2	
	08/02/2019	08/02/2019 2.k Operation Procedures	12.0	0	-1	104	6	12.690196317784928	29.179796546396584	59.59967320261438	31.20100811274365	0	0	0.9	95	14	0	1	0	0		2	
	Slurry Operations	Slurry Operations	12.0	0	-1	105	6	42.06699545866524	32.077525360415684	56.560456519033394	34.098738853377526	0	0	0.9	96	14	0	1	0	0		2	
	09/18/2019	09/18/2019 2.l Incorporation of Government	12.0	0	-1	106	6	12.690196317784928	35.032071970930005	65.64542982313368	37.05328353727707	0	0	0.9	97	15	1	1	0	0		2	
	Comments	Comments	12.0	0	-1	107	6	42.06699545866524	36.91086046623462	51.04738621929892	38.93207203258168	0	0	-0.1	97	15	1	1	0	0		2	
	DISTRIBUTION	DISTRIBUTION	12.0	1	-1	108	6	11.768627790064594	42.48510033193261	26.74836551441866	44.583588417130294	0	0	3.6	98	16	0	2	0	0	DISTRIBUTION	3	
	This manual should always be kept with the VMDS Power Unit and used primarily as an additional	This manual should always be kept with the VMDS Power Unit and used primarily as an additional	12.0	0	-1	109	6	11.768627790064594	45.956313008009786	88.73496460758783	47.977524574356856	0	0	1.4	99	17	1	2	0	0		3	
	on-site reference guide to operators and maintenance personnel who have already received all	on-site reference guide to operators and maintenance personnel who have already received all	12.0	0	-1	110	6	11.768627790064594	47.8351015033144	88.71927697674121	49.85631306966146	0	0	-0.1	99	17	1	2	0	0		3	
	required classroom, hands-on, and field training applicable to safely operate and/or maintain this	required classroom, hands-on, and field training applicable to safely operate and/or maintain this	12.0	0	-1	111	6	11.768627790064594	49.713889998619	88.73106513927186	51.73510156496607	0	0	-0.1	99	17	1	2	0	0		3	
	equipment.  The preferred storage location of this manual is inside the accessory box.	equipment.  The preferred storage location of this manual is inside the accessory box.	12.0	0	-1	112	6	11.768627790064594	51.592678493923614	79.80065439261642	53.61389006027068	0	0	-0.1	99	17	1	2	0	0		3	
	This manual is for reference use only and is not to be used solely to operate the VMDS system	This manual is for reference use only and is not to be used solely to operate the VMDS system	12.0	0	-1	113	6	11.768627790064594	54.48914344864663	88.73790666168811	56.51035501499369	0	0	0.9	100	17	1	2	0	0		3	
	without necessary training.   Unit commanders require that all training be documented on the	without necessary training.   Unit commanders require that all training be documented on the	12.0	0	-1	114	6	11.768627790064594	56.367931943951234	88.72320636425142	58.3891435102983	0	0	-0.1	100	17	1	2	0	0		3	
	Soldiers’ driver’s training records.	Soldiers’ driver’s training records.	12.0	0	-1	115	6	11.768627790064594	58.246720439255846	39.75326687681909	60.26793200560291	0	0	-0.1	100	17	1	2	0	0		3	
	The	The MASTER COPY of this complete manual is permanently maintained and on record at	12.0	1	-1	116	6	11.768627790064594	61.140657675386684	88.69346668517667	63.25277848677202	0	0	0.9	101	17	1	2	0	0		3	
